ICD-9 BTL (Basic Tabulation List) LIST) ;Detailed List Numbers;
;;Cause
B00;; All causes
B01;001-009;Intestinal infectious diseases
B010;1;Cholera
B011;002.0;Typhoid fever
B012;4;Shigellosis
B013;003, 005;Food poisoning
B014;6;Amoebiasis
B015;007, 008;Intestinal infections due to other specified organism
B016;9;Ill-defined intestinal infections
B019;;Remainder of B01
B02;010-018;Tuberculosis
B020;11;Pulmonary tuberculosis
B021;010, 012;Other respiratory tuberculosis
B022;13;Tuberculosis of meninges and central nervous system
B023;14;Tuberculosis of intestines, peritoneum and mesenteric glands
B024;15;Tuberculosis of bones and joints
B025;16;Tuberculosis of genitourinary system
B029;;Remainder of B02
B03;020-041;Other bacterial diseases
B030;20;Plague
B031;23;Brucellosis
B032;30;Leprosy
B033;32;Diphtheria
B034;33;Whooping cough
B035;034, 035;Streptococcal sore throat, scarlatina and erysipelas
B036;36;Meningococcal infection
B037;37;Tetanus
B038;38;Septicaemia
B039;;Remainder of B03
B04;045-079;Viral diseases
B040;45;Acute poliomyelitis
B041;50;Smallpox
B042;55;Measles
B043;56;Rubella
B044;60;Yellow fever
B045;062-064;Arthropod-borne encephalitis
B046;70;Viral hepatitis
B047;71;Rabies
B048;76;Trachoma
B049;;Remainder of B04
B05;080-088;Rickettsiosis and other arthropod-borne diseases
B050;80;Louse-borne typhus
B051;081-083;Other rickettsiosis
B052;84;Malaria
B053;85;Leishmaniasis
B054;86;Trypanosomiasis
B059;;Remainder of B05
B06;090-099;Venereal diseases
B060;090-097;Syphilis
B061;98;Gonococcal infections
B069;;Remainder of B06
B07;100-139;Other infectious and parasitic diseases and late effects of infectious and parasitic diseases
B070;100-104;Non-syphilitic spirochaetal diseases
B071;110-118;Mycosis
B072;120;Schistosomiasis
B073;122;Echinococcosis
B074;125;Filarial infection and dracontiasis
B075;126;Ancylostomiasis and necatoriasis
B076;121, 123, 124, 127-129       ;Other helminthiasis
B077;137;Late effects of tuberculosis
B078;138;Late effects of acute poliomyelitis
B079;;Remainder of B07
B08;140-149;Malignant neoplasm of lip, oral cavity and pharynx
B09;150-159;Malignant neoplasm of digestive organs and peritoneum
B090;150;Malignant neoplasm of oesophagus
B091;151;Malignant neoplasm of stomach
B092;152;Malignant neoplasm of small intestine, including duodenum
B093;153;Malignant neoplasm of colon
B094;154;Malignant neoplasm of rectum, rectosigmoid junction and anus
B095;155.0;Malignant neoplasm of liver, specified as primary
B096;157;Malignant neoplasm of pancreas
B099;;Remainder of B09
B10;;Malignant neoplasm of respiratory and intrathoracic organs 160-165
B100;161;Malignant neoplasm of larynx
B101;162;Malignant neoplasm of trachea, bronchus and lung
B109;;Remainder of B10
B11;170-175;Malignant neoplasm of bone, connective tissue, skin and breast
B110;170;Malignant neoplasm of bone and articular cartilage
B111;172;Malignant melanoma of skin
B112;173;Other malignant neoplasm of skin
B113;174;Malignant neoplasm of female breast
B119;;Remainder of B11
B12;179-189;Malignant neoplasm of genitourinary organs
B120;180;Malignant neoplasm of cervix uteri
B121;181;Malignant neoplasm of placenta
B122;179, 182;Malignant neoplasm of uterus, other and unspecified
B123;183;Malignant neoplasm of ovary and other uterine adnexa
B124;185;Malignant neoplasm of prostate
B125;186;Malignant neoplasm of testis
B126;188;Malignant neoplasm of bladder
B129;;Remainder of B12
B13;190-199;Malignant neoplasm of other and unspecified sites
B130;191;Malignant neoplasm of brain
B139;;Remainder of B13
B14;200-208;Malignant neoplasm of lymphatic and haemopoietic tissue
B140;201;Hodgkin's disease
B141;204-208;Leukaemia
B149;;Remainder of B14
B15;210-229;Benign neoplasm
B150;216;Benign neoplasm of skin
B151;217;Benign neoplasm of breast
B152;218, 219;Benign neoplasm of uterus
B153;220;Benign neoplasm of ovary
B154;223;Benign neoplasm of kidney and other urinary organs
B155;225;Benign neoplasm of nervous system
B156;226;Benign neoplasm of thyroid
B159;;Remainder of B15
B16;230-234;Carcinoma in situ
B17;235-239;Other and unspecified neoplasm
B18;240-259, 270-279;Endocrine and metabolic diseases, immunity disorders
B180;240-246;Disorders of thyroid gland
B181;250;Diabetes mellitus
B182;272.0, 272.1;Hyperlipoproteinaemia
B183;278.0;Obesity of non-endocrine origin
B184;279.5;Human immunodeficiency virus [HIV] disease [AIDS]
B185;2796;AIDS-related complex
B189;;Remainder of B18
B19;260-269;Nutritional deficiencies
B190;260;Kwashiorkor
B191;261;Nutritional marasmus
B192;262, 263;Other protein-calorie malnutrition
B193;264-269;Avitaminosis
B199;;Remainder of B19
B20;280-289;Diseases of blood and blood-forming organs
B200;280-285;Anaemias
B209;;Remainder of B20
B21;290-319;Mental disorders
B210;290;Senile and presenile organic psychotic conditions
B211;295;Schizophrenic psychoses
B212;296;Affective psychoses
B213;291-294, 297-299;Other psychoses
B214;300, 301;Neurotic and personality disorders
B215;303;Alcohol dependence syndrome
B216;304;Drug dependence
B217;306;Physiological malnutrition arising from mental factors
B218;317-319;Mental retardation
B219;;Remainder of B21
B22;320-359;Diseases of the nervous system
B220;320-322;Meningitis
B221;332;Parkinson's disease
B222;330, 331, 333-336;Other degenerative and hereditary disorders of the central nervous system
B223;340;Multiple sclerosis
B224;343, 344;Infantile cerebral palsy and other paralytic syndromes
B225;345;Epilepsy
B229;;Remainder of B22
B23;360-379;Disorders of the eye and adnexa
B230;365;Glaucoma
B231;366;Cataract
B232;369;Blindness and low vision
B233;372.0-372.3;Conjunctivitis
B234;375;Disorders of lacrimal system
B235;378;Strabismus and other disorders of binocular eye movements
B239;;Remainder of B23
B24;380-389;Diseases of the ear and mastoid process
B240;381-383;Otitis media and mastoiditis
B241;389;Deafness
B249;;Remainder of B24
B25;390-398;Rheumatic fever and rheumatic heart disease
B250;390-392;Acute rheumatic fever
B251;393-398;Chronic rheumatic heart disease
B259;;Remainder of B25
B26;401-405;Hypertensive disease
B260;402, 404;Hypertensive heart disease
B269;;Remainder of B26
B27;410-414;Ischaemic heart disease
B270;410;Acute myocardial infarction
B279;;Remainder of B27
B28;415-429;Diseases of pulmonary circulation and other forms of heart disease
B280;415.1;Pulmonary embolism
B281;427;Cardiac dysrhythmias
B289;;Remainder of B28
B29;430-438;Cerebrovascular disease
B290;430;Subarachnoid haemorrhage
B291;431, 432;Intracerebral and other intracranial haemorrhage
B292;433, 434;Cerebral infarction
B293;436;Acute but ill-defined cerebrovascular disease
B294;437.0;Cerebral atherosclerosis
B299;;Remainder of B29
B30;440-459;Other diseases of the circulatory system
B300;440;Atherosclerosis
B301;444;Arterial embolism and thrombosis
B302;441-443, 446-448;Other diseases of arteries, arterioles and capillaries
B303;451-453;Phlebitis, thrombophlebitis, venous embolism and thrombosis
B304;454;Varicose veins of lower extremities
B305;455;Haemorrhoids
B309;;Remainder of B30
B31;460-465, 470-478;Diseases of the upper respiratory tract
B310;463;Acute tonsillitis
B311;464;Acute laryngitis and tracheitis
B312;460-462, 465;Other acute upper respiratory infections
B313;470, 471;Deflected nasal septum and nasal polyps
B314;472, 473;Chronic pharyngitis, nasopharyngitis and sinusitis
B315;474;Chronic diseases of tonsils and adenoids
B319;;Remainder of B31
B32;466, 480-519;Other diseases of the respiratory system
B320;466;Acute bronchitis and bronchiolitis
B321;480-486;Pneumonia
B322;487;Influenza
B323;490-493;Bronchitis, chronic and unspecified, emphysema and asthma
B324;494;Bronchiectasis
B325;495, 496;Other chronic obstructive pulmonary disease
B326;500-508;Pneumoconiosis and other lung disease due to external agents
B327;511;Pleurisy
B329;;Remainder of B32
B33;520-529;Diseases of oral cavity, salivary glands and jaws
B330;520-525;Diseases of teeth and supporting structures
B331;526;Diseases of the jaws
B339;;Remainder of B33
B34;530-579;Diseases of other parts of the digestive system
B340;530;Diseases of oesophagus
B341;531-533;Ulcer of stomach and duodenum
B342;540-543;Appendicitis
B343;550-553;Hernia of abdominal cavity
B344;560;Intestinal obstruction without mention of hernia
B345;562;Diverticula of intestine
B346;564;Other functional digestive disorders
B347;571;Chronic liver disease and cirrhosis
B348;574-575.1;Cholelithiasis and cholecystitis
B349;;Remainder of B34
B35;580-599;Diseases of urinary system
B350;580-589;Nephritis, nephrotic syndrome and nephrosis
B351;590;Infections of kidney
B352;592, 594;Urinary calculus
B353;595;Cystitis
B359;;Remainder of B35
B36;600-608;Diseases of male genital organs
B360;600;Hyperplasia of prostate
B361;603;Hydrocele
B362;605;Redundant prepuce and phimosis
B363;606;Infertility, male
B369;;Remainder of B36
B37;610-629;Diseases of female genital organs
B370;610, 611;Diseases of breast
B371;614.0-614.2;Salpingitis and oophoritis
B372;614.3-614.9;Inflammatory diseases of pelvic cellular tissue and peritoneum
B373;615, 616;Inflammatory diseases of uterus, vagina and vulva
B374;618;Uterovaginal prolapse
B375;626.0-626.5;Menstrual disorders
B376;628;Infertility, female
B379;;Remainder of B37
B38;630-639;Abortion
B380;634;Spontaneous abortion
B381;635;Legally induced abortion
B382;636;Illegally induced abortion
B389;;Remainder of B38
B39;640-646, 651-676;Direct obstetric causes
B390;640, 641, 666;Haemorrhage of pregnancy and childbirth
B391;642.4-642.9, 643;Toxaemia of pregnancy
B392;646.6;Infections of genitourinary tract in pregnancy
B393;660;Obstructed labour
B394;670-676;Complications of the puerperium
B399;;Remainder of B39
B40;647, 648;Indirect obstetric causes
B41;650;Normal delivery
B42;680-709;Diseases of skin and subcutaneous tissue
